ID,Wij [E],Wij [S],Wij [A],Wij [C],Wij [FA],Wij [TP],Wij [D1],Wij [D2],ISTCU
2087,0.023,0.033,-0.046,-0.010,0.009,-0.031,0.025,-0.102,-0.098
2088,0.023,0.033,-0.046,-0.010,0.093,0.095,0.025,-0.102,0.111
2089,0.023,0.033,-0.002,0.095,0.106,0.023,0.025,-0.102,0.201
2090,-0.671,0.074,-0.016,-0.032,0.093,-0.003,0.024,-0.102,-0.632
2091,-0.671,0.074,-0.016,-0.010,0.093,-0.031,0.024,-0.102,-0.637
2092,-0.671,0.074,-0.016,0.000,0.106,-0.003,0.022,-0.102,-0.589
2093,-0.671,0.074,-0.016,0.075,0.181,0.030,0.022,-0.268,-0.572
2094,-0.671,0.046,-0.061,0.095,0.181,0.023,0.027,-0.268,-0.627
2095,-0.671,-0.009,-0.021,0.095,0.181,0.023,0.027,-0.268,-0.643
2096,-0.671,0.074,-0.021,0.095,0.181,0.030,-0.023,-0.268,-0.603
2097,-0.671,-0.060,-0.061,0.075,0.181,-0.031,-0.023,-0.268,-0.857
2098,-0.671,0.033,-0.061,0.069,0.181,0.023,-0.114,-0.289,-0.828
2099,-0.671,-0.184,-0.021,-0.010,0.009,0.023,-0.114,-0.289,-1.256
2100,-0.424,-0.184,-0.021,-0.069,-0.140,-0.151,-0.114,-0.289,-1.392
2101,-0.424,0.002,-0.021,-0.199,-0.140,-0.151,-0.023,-0.289,-1.246
2102,-0.424,0.046,-0.061,-0.069,-0.140,-0.003,-0.023,-0.289,-0.964
2103,0.168,-0.009,-0.016,0.095,-0.140,0.023,0.027,-0.102,0.045
2104,0.168,0.002,-0.020,0.095,-0.075,0.032,0.027,-0.102,0.127
2105,0.057,0.002,-0.020,0.000,-0.075,0.095,0.027,-0.102,-0.015
2106,0.057,-0.009,-0.020,-0.069,-0.325,-0.033,0.022,-0.102,-0.478
2107,0.057,-0.009,-0.002,-0.199,-0.325,-0.151,0.022,-0.102,-0.708
2108,0.057,-0.184,-0.046,-0.032,-0.325,-0.033,0.022,-0.102,-0.642
2109,0.057,-0.184,-0.046,0.069,-0.325,0.023,0.022,-0.102,-0.485
2110,0.057,-0.184,-0.046,-0.032,-0.325,-0.033,0.024,-0.090,-0.629
2111,0.057,-0.184,-0.046,-0.032,-0.325,0.032,0.024,-0.090,-0.564
2112,0.057,-0.184,-0.002,0.075,-0.325,0.023,0.024,-0.090,-0.422
2113,0.057,-0.184,-0.002,-0.032,-0.325,-0.151,0.025,-0.090,-0.702
2114,0.064,0.002,-0.061,0.069,-0.039,0.030,-0.016,-0.102,-0.052
2115,0.064,0.002,-0.020,0.069,-0.039,0.030,-0.016,-0.102,-0.011
2116,0.064,0.002,-0.061,0.075,-0.039,0.032,-0.016,-0.102,-0.044
2117,0.023,0.002,-0.021,0.075,-0.140,0.030,-0.016,-0.102,-0.150
2118,0.023,0.002,-0.021,0.000,-0.075,0.095,-0.016,-0.102,-0.094
2119,0.023,0.033,-0.020,-0.199,-0.075,-0.151,0.040,-0.102,-0.451
2120,0.023,0.033,-0.046,0.069,-0.039,0.095,0.040,-0.102,0.073
2121,0.023,0.047,-0.046,-0.032,0.009,-0.003,0.040,-0.102,-0.063
2122,0.023,0.074,-0.002,0.000,0.106,0.095,0.024,-0.102,0.218
2123,-0.671,0.046,-0.016,0.075,0.181,0.032,0.024,-0.268,-0.596
2124,-0.671,0.046,-0.061,0.095,0.181,0.032,0.022,-0.268,-0.623
2125,-0.671,-0.009,0.077,0.069,0.181,0.032,0.027,-0.268,-0.561
2126,-0.671,0.002,0.068,0.000,0.181,0.095,0.027,-0.268,-0.566
2127,-0.671,0.047,0.068,0.069,0.106,-0.151,-0.023,-0.268,-0.823
2128,-0.671,-0.060,-0.061,-0.199,0.106,-0.003,-0.023,-0.268,-1.179
2129,-0.671,-0.060,-0.020,-0.010,0.106,0.032,-0.114,-0.289,-1.025
2130,-0.671,-0.184,-0.061,-0.199,-0.140,0.032,-0.114,-0.289,-1.626
2131,-0.424,-0.184,-0.020,-0.199,-0.075,-0.151,-0.114,-0.289,-1.456
2132,-0.424,-0.184,-0.016,-0.199,-0.140,-0.151,-0.023,-0.289,-1.427
2133,-0.424,-0.184,-0.016,-0.032,-0.075,-0.151,-0.023,-0.289,-1.194
2134,0.168,0.033,-0.021,0.075,-0.140,0.032,0.022,-0.102,0.066
2135,0.168,0.046,-0.061,-0.010,-0.075,0.030,0.022,-0.102,0.019
2136,0.057,-0.009,-0.020,-0.199,-0.325,-0.033,0.022,-0.102,-0.608
2137,0.057,-0.009,-0.002,-0.199,-0.325,-0.151,0.022,-0.102,-0.708
2138,0.057,-0.184,-0.046,0.075,-0.075,0.023,0.024,-0.090,-0.215
2139,0.057,-0.184,-0.016,0.095,-0.075,0.023,0.025,0.013,-0.061
2140,0.057,-0.184,-0.016,-0.032,-0.325,0.023,0.025,0.013,-0.438
2141,0.064,-0.009,-0.021,0.069,0.009,0.030,-0.016,-0.102,0.025
2142,0.064,-0.009,-0.021,0.075,-0.039,0.032,-0.016,-0.102,-0.015
2143,0.064,0.002,-0.021,0.069,-0.140,0.030,-0.016,-0.102,-0.114
2144,0.023,0.002,-0.021,-0.010,-0.075,0.030,-0.016,-0.102,-0.169
2145,0.023,-0.009,-0.061,-0.199,-0.325,-0.151,-0.016,-0.102,-0.840
2146,0.023,0.033,-0.002,-0.199,-0.075,-0.151,-0.016,-0.102,-0.488
2147,0.023,0.033,-0.046,0.095,0.009,0.030,-0.016,-0.102,0.026
2148,0.023,0.046,-0.020,0.075,0.181,0.032,0.024,-0.268,0.093
2149,-0.671,0.002,-0.021,0.069,0.181,0.030,0.022,-0.268,-0.655
2150,-0.671,-0.184,0.077,-0.010,0.093,0.095,0.027,-0.268,-0.840
2151,-0.671,0.002,0.077,-0.199,-0.039,-0.151,0.027,-0.268,-1.221
2152,-0.671,-0.060,-0.061,-0.199,-0.325,-0.151,-0.023,-0.268,-1.757
2153,-0.671,-0.060,-0.046,0.095,0.093,-0.031,-0.023,-0.289,-0.930
2154,-0.671,0.033,-0.002,0.075,0.093,0.030,-0.114,-0.289,-0.844
2155,-0.671,-0.184,-0.016,-0.010,-0.140,0.032,-0.114,-0.289,-1.392
2156,-0.424,-0.184,-0.016,-0.069,-0.140,0.030,-0.114,-0.289,-1.207
2157,-0.424,-0.184,-0.002,-0.032,-0.140,0.030,-0.114,-0.289,-1.156
2158,-0.424,-0.184,-0.016,0.069,-0.140,-0.031,-0.023,-0.289,-1.038
2159,0.168,-0.060,-0.016,-0.199,-0.325,-0.033,0.027,-0.102,-0.540
2160,0.168,0.046,-0.016,-0.199,-0.325,-0.033,0.022,-0.102,-0.438
2161,0.168,0.002,-0.002,-0.199,-0.325,-0.151,0.024,-0.102,-0.585
2162,0.057,-0.009,-0.021,0.095,-0.140,0.023,0.025,0.013,0.043
2163,0.057,0.046,-0.061,-0.032,-0.325,-0.151,0.040,0.013,-0.412
2164,0.136,0.002,-0.061,-0.069,-0.325,-0.151,-0.016,-0.090,-0.574
2165,0.136,0.033,-0.002,-0.199,-0.075,-0.151,-0.016,-0.102,-0.375
2166,0.064,0.046,0.068,0.095,-0.039,0.030,-0.016,-0.268,-0.019
2167,0.064,-0.009,0.068,0.095,-0.140,0.023,-0.016,-0.268,-0.183
2168,0.064,0.002,0.077,0.095,-0.075,0.032,-0.016,-0.268,-0.088
2169,0.064,-0.009,0.077,0.075,-0.075,0.030,-0.016,-0.268,-0.121
2170,0.023,0.047,-0.020,-0.199,-0.325,-0.033,-0.016,-0.268,-0.791
2171,0.023,0.047,-0.046,-0.069,-0.140,-0.031,-0.016,-0.268,-0.499
2172,0.023,0.074,-0.020,0.075,0.181,0.032,0.024,-0.268,0.121
2173,0.023,-0.009,-0.061,0.000,0.181,0.095,0.024,-0.268,-0.015
2174,-0.671,0.002,-0.021,-0.010,0.093,0.030,0.022,-0.268,-0.822
2175,-0.671,-0.184,-0.061,-0.199,-0.075,-0.151,0.022,-0.268,-1.586
2176,-0.671,-0.184,-0.020,-0.199,-0.325,-0.151,0.027,-0.268,-1.790
2177,-0.671,0.046,-0.046,-0.199,-0.140,-0.151,0.027,-0.289,-1.422
2178,-0.671,0.047,-0.046,0.069,0.093,-0.003,-0.023,-0.289,-0.822
2179,-0.671,0.047,-0.046,0.095,0.093,0.032,-0.023,-0.289,-0.761
2180,-0.671,-0.009,-0.016,0.069,-0.039,0.032,-0.114,-0.289,-1.036
2181,-0.671,0.002,-0.002,-0.069,-0.140,0.030,-0.114,-0.289,-1.252
2182,-0.671,-0.184,-0.002,-0.032,-0.140,0.023,-0.114,-0.289,-1.409
2183,-0.424,-0.184,-0.016,0.000,-0.140,0.023,-0.114,0.074,-0.782
2184,0.057,0.033,-0.061,-0.199,-0.325,-0.151,0.040,0.161,-0.445
2185,0.136,-0.184,-0.020,-0.069,-0.140,-0.151,-0.016,-0.090,-0.534
2186,0.085,-0.184,0.077,0.075,-0.140,0.023,-0.016,-0.268,-0.348
2187,0.085,-0.184,0.077,-0.032,-0.140,-0.033,-0.016,-0.268,-0.511
2188,0.064,0.002,0.077,-0.069,-0.075,-0.033,-0.016,-0.268,-0.317
2189,0.064,0.046,0.077,-0.199,-0.325,-0.151,-0.016,-0.268,-0.770
2190,0.064,-0.009,0.077,-0.199,-0.325,-0.033,-0.016,-0.268,-0.708
