Elevation,Aspect,Slope,Curvature,Flow acc,TPI,Roads,Rivers,ID,Landslides,Class [E],Class [S],Class [A],Class [C],Class [FA],Class [TP],Class [D1],Class [D2],Wij [E],Wij [S],Wij [A],Wij [C],Wij [FA],Wij [TP],Wij [D1],Wij [D2],ISTCU
911.60,167.26,10.92,0.02613,10.10,-0.42,134.16,297.32,"1652",yes,p8,p4,p1,p8,p4,p3,p5,p6,-0.424437319000000,0.074341477000000,-0.045615821000000,0.095087784000000,-0.038693589000000,0.029821053000000,0.024231304000000,-0.267899596000000,-0.553164706000000
877.63,239.19,13.68,-0.00394,5.69,-0.74,28.28,215.41,"1666",yes,p7,p6,p4,p3,p2,p2,p2,p5,-0.670538695000000,-0.009248494000000,-0.019866731000000,-0.009676808000000,-0.074792069000000,0.031715877000000,-0.023336602000000,-0.101812710000000,-0.877556231000000
882.63,240.98,22.73,-0.00409,4.82,-1.76,44.72,223.61,"1667",yes,p8,p8,p5,p3,p2,p1,p2,p6,-0.424437319000000,-0.184272232000000,-0.061148782000000,-0.009676808000000,-0.074792069000000,0.022916385000000,-0.023336602000000,-0.267899596000000,-1.022647023000000
891.79,237.57,29.24,-0.00553,3.46,-0.59,56.57,233.24,"1668",yes,p8,p8,p4,p3,p2,p3,p2,p6,-0.424437319000000,-0.184272232000000,-0.019866731000000,-0.009676808000000,-0.074792069000000,0.029821053000000,-0.023336602000000,-0.267899596000000,-0.974460304000000
902.32,230.53,27.94,-0.00987,2.58,1.87,72.11,244.13,"1669",yes,p8,p8,p4,p3,p1,p8,p3,p6,-0.424437319000000,-0.184272232000000,-0.019866731000000,-0.009676808000000,-0.325177251000000,-0.150990845000000,0.027092548000000,-0.267899596000000,-1.355228234000000
909.45,213.55,19.36,-0.02081,1.97,3.41,89.44,256.12,"1670",yes,p8,p8,p2,p1,p1,p8,p3,p6,-0.424437319000000,-0.184272232000000,-0.001822229000000,-0.198733044000000,-0.325177251000000,-0.150990845000000,0.027092548000000,-0.267899596000000,-1.526239968000000
910.26,172.55,13.23,-0.03762,2.80,2.25,107.70,269.07,"1671",yes,p8,p5,p1,p1,p1,p8,p4,p6,-0.424437319000000,0.046295095000000,-0.045615821000000,-0.198733044000000,-0.325177251000000,-0.150990845000000,0.022456623000000,-0.267899596000000,-1.344102158000000
875.35,237.98,12.62,0.01508,9.69,-0.57,20.00,196.98,"1685",yes,p7,p5,p4,p7,p4,p3,p1,p5,-0.670538695000000,0.046295095000000,-0.019866731000000,0.075126801000000,-0.038693589000000,0.029821053000000,-0.113921575000000,-0.101812710000000,-0.793590350000000
879.22,244.56,17.71,0.00962,8.56,-1.81,28.28,205.91,"1686",yes,p7,p8,p5,p6,p3,p1,p2,p5,-0.670538695000000,-0.184272232000000,-0.061148782000000,0.069394899000000,-0.140440662000000,0.022916385000000,-0.023336602000000,-0.101812710000000,-1.089238399000000
886.08,239.75,23.36,0.00080,5.99,-1.42,44.72,216.33,"1687",yes,p8,p8,p4,p4,p3,p1,p2,p5,-0.424437319000000,-0.184272232000000,-0.019866731000000,-0.031836488000000,-0.140440662000000,0.022916385000000,-0.023336602000000,-0.101812710000000,-0.903086359000000
894.00,228.97,26.05,-0.00523,3.44,-0.66,63.25,228.04,"1688",yes,p8,p8,p3,p3,p2,p2,p3,p6,-0.424437319000000,-0.184272232000000,-0.016023948000000,-0.009676808000000,-0.074792069000000,0.031715877000000,0.027092548000000,-0.267899596000000,-0.918293547000000
901.55,216.46,23.22,-0.00585,3.25,1.17,82.46,240.83,"1689",yes,p8,p8,p3,p3,p1,p8,p3,p6,-0.424437319000000,-0.184272232000000,-0.016023948000000,-0.009676808000000,-0.325177251000000,-0.150990845000000,0.027092548000000,-0.267899596000000,-1.351385451000000
904.77,190.65,15.04,-0.02985,4.78,1.46,100.00,254.56,"1690",yes,p8,p7,p1,p1,p2,p8,p3,p6,-0.424437319000000,0.001808829000000,-0.045615821000000,-0.198733044000000,-0.074792069000000,-0.150990845000000,0.027092548000000,-0.267899596000000,-1.133567316000000
873.10,248.21,11.53,0.00541,27.84,-0.82,0.00,178.89,"1704",yes,p7,p4,p5,p5,p6,p2,p1,p5,-0.670538695000000,0.074341477000000,-0.061148782000000,0.000423519000000,0.093063098000000,0.031715877000000,-0.113921575000000,-0.101812710000000,-0.747877791000000
878.00,248.82,14.97,-0.00151,18.59,-0.28,20.00,188.68,"1705",yes,p7,p7,p5,p4,p5,p4,p1,p5,-0.670538695000000,0.001808829000000,-0.061148782000000,-0.031836488000000,0.009232847000000,0.094589063000000,-0.113921575000000,-0.101812710000000,-0.873627510000000
883.63,244.67,17.83,-0.00165,18.24,0.08,40.00,200.00,"1706",yes,p8,p8,p5,p4,p5,p5,p2,p5,-0.424437319000000,-0.184272232000000,-0.061148782000000,-0.031836488000000,0.009232847000000,-0.003211972000000,-0.023336602000000,-0.101812710000000,-0.820823257000000
888.45,238.19,19.42,0.00998,20.64,-1.40,56.57,212.60,"1707",yes,p8,p8,p4,p6,p5,p1,p2,p5,-0.424437319000000,-0.184272232000000,-0.019866731000000,0.069394899000000,0.009232847000000,0.022916385000000,-0.023336602000000,-0.101812710000000,-0.652181462000000
894.02,233.35,19.14,0.01587,18.87,-1.59,72.11,226.27,"1708",yes,p8,p8,p4,p7,p5,p1,p3,p6,-0.424437319000000,-0.184272232000000,-0.019866731000000,0.075126801000000,0.009232847000000,0.022916385000000,0.027092548000000,-0.267899596000000,-0.762107297000000
875.54,259.22,12.53,0.02126,62.37,-1.67,20.00,172.05,"1723",yes,p7,p5,p6,p8,p7,p1,p1,p5,-0.670538695000000,0.046295095000000,-0.021112622000000,0.095087784000000,0.105651855000000,0.022916385000000,-0.113921575000000,-0.101812710000000,-0.637434484000000
880.72,259.02,15.38,0.02881,50.56,-1.37,28.28,184.39,"1724",yes,p7,p7,p6,p8,p7,p1,p2,p5,-0.670538695000000,0.001808829000000,-0.021112622000000,0.095087784000000,0.105651855000000,0.022916385000000,-0.023336602000000,-0.101812710000000,-0.591335775000000
886.38,262.71,16.17,0.02421,50.65,-1.16,44.72,197.99,"1725",yes,p8,p7,p6,p8,p7,p1,p2,p5,-0.424437319000000,0.001808829000000,-0.021112622000000,0.095087784000000,0.105651855000000,0.022916385000000,-0.023336602000000,-0.101812710000000,-0.345234399000000
876.49,282.32,11.65,0.01337,55.27,-0.45,0.00,156.20,"1739",yes,p7,p4,p8,p7,p7,p3,p1,p4,-0.670538695000000,0.074341477000000,0.068000694000000,0.075126801000000,0.105651855000000,0.029821053000000,-0.113921575000000,-0.089983568000000,-0.521501958000000
880.64,278.41,15.39,0.00476,50.52,-1.21,20.00,169.71,"1740",yes,p7,p7,p7,p5,p7,p1,p1,p5,-0.670538695000000,0.001808829000000,0.077229926000000,0.000423519000000,0.105651855000000,0.022916385000000,-0.113921575000000,-0.101812710000000,-0.678242466000000
748.19,253.10,10.36,0.02046,54.98,-1.17,247.39,20.00,"113",yes,p2,p3,p6,p7,p7,p1,p8,p1,0.057115551000000,0.047151447000000,-0.021112622000000,0.075126801000000,0.105651855000000,0.022916385000000,-0.015670617000000,0.210227777000000,0.481406576000000
741.85,242.84,9.73,0.04215,131.71,-0.81,196.98,0.00,"114",yes,p1,p3,p5,p8,p8,p2,p6,p1,0.167799761000000,0.047151447000000,-0.061148782000000,0.095087784000000,0.180950616000000,0.031715877000000,0.025357110000000,0.210227777000000,0.697141591000000
745.30,265.37,7.97,0.03059,52.80,-0.18,215.41,0.00,"115",yes,p1,p1,p7,p8,p7,p4,p7,p1,0.167799761000000,-0.059663047000000,0.077229926000000,0.095087784000000,0.105651855000000,0.094589063000000,0.040094809000000,0.210227777000000,0.731017928000000
732.38,229.05,11.59,-0.00233,115.50,-0.73,152.32,0.00,"116",yes,p1,p4,p3,p4,p8,p2,p5,p1,0.167799761000000,0.074341477000000,-0.016023948000000,-0.031836488000000,0.180950616000000,0.031715877000000,0.024231304000000,0.210227777000000,0.641406376000000
736.30,243.42,13.71,0.01535,117.29,-0.63,170.88,0.00,"117",yes,p1,p6,p5,p7,p8,p3,p6,p1,0.167799761000000,-0.009248494000000,-0.061148782000000,0.075126801000000,0.180950616000000,0.029821053000000,0.025357110000000,0.210227777000000,0.618885843000000
741.76,256.97,12.98,-0.00484,34.53,0.93,189.74,20.00,"118",yes,p1,p5,p6,p3,p6,p7,p6,p1,0.167799761000000,0.046295095000000,-0.021112622000000,-0.009676808000000,0.093063098000000,-0.033089711000000,0.025357110000000,0.210227777000000,0.478863699000000
727.62,232.40,7.66,0.01662,149.93,-0.89,126.49,0.00,"119",yes,p1,p1,p4,p7,p8,p2,p4,p1,0.167799761000000,-0.059663047000000,-0.019866731000000,0.075126801000000,0.180950616000000,0.031715877000000,0.022456623000000,0.210227777000000,0.608747677000000
730.03,243.62,9.61,0.03321,127.55,-1.32,144.22,0.00,"120",yes,p1,p2,p5,p8,p8,p1,p5,p1,0.167799761000000,0.032613953000000,-0.061148782000000,0.095087784000000,0.180950616000000,0.022916385000000,0.024231304000000,0.210227777000000,0.672678797000000
733.75,252.45,14.38,0.00761,66.94,-1.49,161.25,20.00,"121",yes,p1,p6,p6,p6,p7,p1,p5,p1,0.167799761000000,-0.009248494000000,-0.021112622000000,0.069394899000000,0.105651855000000,0.022916385000000,0.024231304000000,0.210227777000000,0.569860864000000
729.36,278.80,8.55,0.02756,93.39,-1.39,134.16,20.00,"122",yes,p1,p2,p7,p8,p7,p1,p5,p1,0.167799761000000,0.032613953000000,0.077229926000000,0.095087784000000,0.105651855000000,0.022916385000000,0.024231304000000,0.210227777000000,0.735758745000000
747.49,211.36,7.41,0.03609,70.84,-0.77,234.09,0.00,"123",yes,p2,p1,p2,p8,p7,p2,p7,p1,0.057115551000000,-0.059663047000000,-0.001822229000000,0.095087784000000,0.105651855000000,0.031715877000000,0.040094809000000,0.210227777000000,0.478408376000000
743.52,216.06,10.60,-0.02747,25.25,1.45,189.74,20.00,"124",yes,p1,p3,p2,p1,p6,p8,p6,p1,0.167799761000000,0.047151447000000,-0.001822229000000,-0.198733044000000,0.093063098000000,-0.150990845000000,0.025357110000000,0.210227777000000,0.192053076000000
744.52,211.76,8.04,0.01980,75.62,0.14,208.81,20.00,"125",yes,p1,p1,p2,p7,p7,p5,p7,p1,0.167799761000000,-0.059663047000000,-0.001822229000000,0.075126801000000,0.105651855000000,-0.003211972000000,0.040094809000000,0.210227777000000,0.534203755000000
745.44,234.93,7.16,0.02881,96.54,-1.03,228.04,0.00,"126",yes,p1,p1,p4,p8,p7,p2,p7,p1,0.167799761000000,-0.059663047000000,-0.019866731000000,0.095087784000000,0.105651855000000,0.031715877000000,0.040094809000000,0.210227777000000,0.571048084000000
