Time;Acceleration
7.47;-0.00240601
7.48;-0.00151142
7.49;-0.000161162
7.5;0.00162151
7.51;0.00325168
7.52;0.00448104
7.53;0.00585994
7.54;0.00752915
7.55;0.00854699
7.56;0.00811458
7.57;0.00667839
7.58;0.00520907
7.59;0.0042208
7.6;0.00380143
7.61;0.00383935
7.62;0.00392854
7.63;0.00362283
7.64;0.00302446
7.65;0.00263517
7.66;0.00262671
7.67;0.00268186
7.68;0.0025788
7.69;0.00236412
7.7;0.00200754
7.71;0.00140499
7.72;0.00065739
7.73;-0.000062181
7.74;-0.000740061
7.75;-0.00132294
7.76;-0.00147187
7.77;-0.00082212
7.78;0.000779817
7.79;0.00324506
7.8;0.00595963
7.81;0.0076739
7.82;0.00762589
7.83;0.0068
7.84;0.00685882
7.85;0.00798777
7.86;0.00889266
7.87;0.0088103
7.88;0.00801998
7.89;0.00673996
7.9;0.00519633
7.91;0.00445708
7.92;0.00544893
7.93;0.00713364
7.94;0.00748247
7.95;0.00598828
7.96;0.00389368
7.97;0.00207319
7.98;0.000323955
7.99;-0.00157961
8;-0.00339062
8.01;-0.00496993
8.02;-0.00651794
8.03;-0.00833639
8.04;-0.0105872
8.05;-0.0130112
8.06;-0.0150663
8.07;-0.0167564
8.08;-0.0188257
8.09;-0.0211804
8.1;-0.0221376
8.11;-0.0203833
8.12;-0.016946
8.13;-0.0136269
8.14;-0.0106871
8.15;-0.00750591
8.16;-0.00461978
8.17;-0.00323048
8.18;-0.00326096
8.19;-0.00343955
8.2;-0.00301305
8.21;-0.00237288
8.22;-0.00226636
8.23;-0.00312854
8.24;-0.00470877
8.25;-0.00598216
8.26;-0.0057897
8.27;-0.0038315
8.28;-0.000839144
8.29;0.00215382
8.3;0.00434098
8.31;0.00533578
8.32;0.0053107
8.33;0.00490265
8.34;0.00459908
8.35;0.00458196
8.36;0.00501865
8.37;0.00570887
8.38;0.00565056
8.39;0.00395209
8.4;0.00119286
8.41;-0.00124618
8.42;-0.00289164
8.43;-0.00438726
8.44;-0.00607431
8.45;-0.00753456
8.46;-0.00844852
8.47;-0.00905423
8.48;-0.00962926
8.49;-0.0102426
8.5;-0.0109062
8.51;-0.0114485
8.52;-0.0115036
8.53;-0.0110234
8.54;-0.0104088
8.55;-0.00990499
8.56;-0.00938848
8.57;-0.00883629
8.58;-0.00832528
8.59;-0.00754027
8.6;-0.00603211
8.61;-0.00416809
8.62;-0.00298104
8.63;-0.00294679
8.64;-0.00348277
8.65;-0.00388471
8.66;-0.0040265
8.67;-0.00409847
8.68;-0.00408094
8.69;-0.00369592
8.7;-0.00261152
8.71;-0.000764832
8.72;0.00159256
8.73;0.00423802
8.74;0.00722936
8.75;0.0105056
8.76;0.013371
8.77;0.0148869
8.78;0.0146524
8.79;0.0129827
8.8;0.0103547
8.81;0.00739715
8.82;0.0048842
8.83;0.00323048
8.84;0.00216024
8.85;0.00146534
8.86;0.00150449
8.87;0.00241162
8.88;0.00334985
8.89;0.00330255
8.9;0.00231845
8.91;0.00118226
8.92;0.000120082
8.93;-0.00126534
8.94;-0.00286218
8.95;-0.00387136
8.96;-0.00387788
8.97;-0.00337655
8.98;-0.00297074
8.99;-0.00273456
9;-0.00249582
9.01;-0.00224271
9.02;-0.00198196
9.03;-0.00174057
9.04;-0.0018208
9.05;-0.00255087
9.06;-0.00358502
9.07;-0.00410173
9.08;-0.00384149
9.09;-0.00336126
9.1;-0.00306249
9.11;-0.00275566
9.12;-0.0022946
9.13;-0.001916
9.14;-0.00173252
9.15;-0.00160418
